Country_Name,Country_Code,Region,Year,Fertility_Rate
United States,USA,North America,1960,3.654
United States,USA,North America,1961,3.62
United States,USA,North America,1962,3.461
United States,USA,North America,1963,3.319
United States,USA,North America,1964,3.19
United States,USA,North America,1965,2.913
United States,USA,North America,1966,2.721
United States,USA,North America,1967,2.558
United States,USA,North America,1968,2.464
United States,USA,North America,1969,2.456
United States,USA,North America,1970,2.48
United States,USA,North America,1971,2.266
United States,USA,North America,1972,2.01
United States,USA,North America,1973,1.879
United States,USA,North America,1974,1.835
United States,USA,North America,1975,1.774
United States,USA,North America,1976,1.738
United States,USA,North America,1977,1.79
United States,USA,North America,1978,1.76
United States,USA,North America,1979,1.808
United States,USA,North America,1980,1.8395
United States,USA,North America,1981,1.812
United States,USA,North America,1982,1.8275
United States,USA,North America,1983,1.799
United States,USA,North America,1984,1.8065
United States,USA,North America,1985,1.844
United States,USA,North America,1986,1.8375
United States,USA,North America,1987,1.872
United States,USA,North America,1988,1.934
United States,USA,North America,1989,2.014
United States,USA,North America,1990,2.081
United States,USA,North America,1991,2.0625
United States,USA,North America,1992,2.046
United States,USA,North America,1993,2.0195
United States,USA,North America,1994,2.0015
United States,USA,North America,1995,1.978
United States,USA,North America,1996,1.976
United States,USA,North America,1997,1.971
United States,USA,North America,1998,1.999
United States,USA,North America,1999,2.0075
United States,USA,North America,2000,2.056
United States,USA,North America,2001,2.0305
United States,USA,North America,2002,2.0205
United States,USA,North America,2003,2.0475
United States,USA,North America,2004,2.0515
United States,USA,North America,2005,2.057
United States,USA,North America,2006,2.108
United States,USA,North America,2007,2.12
United States,USA,North America,2008,2.072
United States,USA,North America,2009,2.002
United States,USA,North America,2010,1.931
United States,USA,North America,2011,1.8945
United States,USA,North America,2012,1.8805
United States,USA,North America,2013,1.8575
United States,USA,North America,2014,1.8625
United States,USA,North America,2015,1.843